;origin;destination;simpang;base_duration;length;no_simpangan
0;(-6.190375973917029, 106.87510587543514);(-6.189106614340076, 106.87729738512063);Ahmad Yani - Jl.H.Ten;86;505;0
1;(-6.194008633407266, 106.87463608592118);(-6.192548487595325, 106.87765237073411);Ahmad Yani- Jl.Pemuda;48;497;1
2;(-6.241892424883742, 106.87701091066995);(-6.239785640534078, 106.88008894724322);DI Panjaitan - Jl. Kalimalang;74;496;2
3;(-6.1470373284202475, 106.83436860847227);(-6.148648065484272, 106.8325822573163);Gunung Sahari - Jl. Mangga Besar;82;501;3
4;(-6.238250488126058, 106.82911433892662);(-6.235162872770016, 106.82826676090355);Jl. Gatot Subroto - Jl. H. R. Rasuna Said;74;513;4
5;(-6.198869732635176, 106.7986185941223);(-6.202892165528399, 106.80056625319281);Jl. Letjen S. Parman - Jl. Gatot Subroto;57;497;5
6;(-6.181968895791145, 106.79653119893334);(-6.178680005423234, 106.79761100797312);Jl. Letjen S. Parman - Jl. Tomang Raya;57;499;6
7;(-6.140605535454446, 106.79346734578937);(-6.143144965365648, 106.79151070334552);Jl.Jembatan 2 Raya - Jl.Tubagus Angke;80;498;7
8;(-6.166979462851707, 106.79020879047034);(-6.166392791358842, 106.78588506965443);Jl.Kyai Tapa - Jl.Daan Mogot;51;485;8
9;(-6.167151529252891, 106.88094231348498);(-6.166575524707153, 106.87655421965444);Perintis Kemerdekaan - Jl. Letjen Suprapto;55;498;9
